gene_id,Oxy_rep3,Control_rep1,Control_rep2,Control_rep3,CoCl2_rep1,CoCl2_rep2,CoCl2_rep3,Oxy_rep1,Oxy_rep2
ANKRD31,6,23,43,29,4,3,1,7,11
ANKRD33,0,0,0,0,0,0,0,0,0
ANKRD33B,2182,1388,1501,1319,814,675,954,2596,2624
ANKRD34A,2,5,0,4,4,2,3,6,5
ANKRD34B,1,0,2,1,0,0,1,1,3
ANKRD34C,0,0,0,0,0,0,0,0,0
ANKRD34C-AS1,0,0,0,0,0,0,0,0,0
ANKRD35,16,10,9,10,4,5,5,33,32
ANKRD36,226.967,347.778,378.4,331.791,64.258,45.847,60.205,261.176,263.174
ANKRD36B,196.665,244.597,316.292,262.472,58.94,56.733,86.95,313.094,265.747
ANKRD36BP1,0,0,0,0,0,0,0,0,0
ANKRD36BP2,0,0,0,0,0,0,0,2,0
ANKRD36C,93.367,109.626,122.308,122.737,40.801,24.422,33.845,100.729,102.078
ANKRD37,240.101,21.453,24.713,24.091,135.065,119.855,171.887,326.98,353.615
ANKRD39,139,160,184,199,320,252,405,180,194
ANKRD40,1615,2490,2792,2350,1978,1570,2275,2015,1870
ANKRD40CL,131,221,237,219.999,20,11,23,119,136
ANKRD42,234,249,243,203,888,628,1004,237,268
ANKRD42-DT,20.972,20.815,21.281,33.46,21.376,22.564,16.586,34.058,21.441
ANKRD44,12.001,4,2,2,2,2,2,18,22
ANKRD44-AS1,0,0,0,0,0,0,0,0,0
ANKRD44-DT,0,0,0,0,0,0,0,0,0
ANKRD44-IT1,0,0,0,0,0,0,0,0,0
ANKRD45,0,1,0,0,0,0,2,0,1
ANKRD46,269.999,283.999,307,285,123.001,110.999,164,294,280.001
ANKRD49,485,420,543,424,426,316,479,552,526
ANKRD50,323,279,368,288,664,555,690,382,373
ANKRD52,1226,1691,1876.999,1614,779,518,885,1412,1472
ANKRD53,2,1,1,1,1,2,0,4,2
ANKRD54,268,289,317,309.206,432.001,361,588.001,340.999,341.001
ANKRD55,0,3.137,1.026,3.131,3.166,0,3.193,4.369,1.066
ANKRD6,189.793,70.84,70.647,71.781,17.614,11.334,15.587,222.742,226.521
ANKRD60,0,0,0,0,0,0,0,0,1
ANKRD61,22,23,19,23,38,23,56,21,28
ANKRD62,0,0,1.002,0,1,0,0,0,0
ANKRD62P1-PARP4P3,0,0,0,0,0,0,0,0,0
ANKRD63,8,3,7,1,0,0,0,11,6
ANKRD65,3,2,2,3,13,7,16,5,3
ANKRD65-AS1,0,0,1,1,0,0,1,1,0
ANKRD66,0,0,0,0,0,0,0,0,0
ANKRD7,0,0,0,0,0,0,0,0,0
ANKRD9,348.81,176.504,201.067,156.042,194.142,178.646,213.771,445.85,471.086
ANKS1A,1289,881,960,835,699.001,524,818.001,1570,1648.001
ANKS1B,2,1.07,2.216,3,0,3,3.29,6.623,1.057
ANKS3,212.001,290.001,318,259,228.001,158,338,294,317
ANKS4B,152,157,177,137,177,143,241.373,142,149
ANKS6,568,597,652,545,97,70,126,695,606
ANKUB1,0,0,0,0,0,0,0,0,0
ANKZF1,1974,544,571,546,1710.999,1312.999,2161,2532.999,2503
ANLN,4037.356,4615.354,5295.945,4574.807,7414.62,5749.97,8444.98,4549.257,4448.68
ANO1,61,35,34,33,24,28,31.001,71,63
ANO10,575,629.001,679,612,442.001,362,491.999,725,675
ANO2,2,4,3,1,3,2,6,3,4
ANO3,0,0,0,0,0,0,0,0,0
ANO3-AS1,0,0,0,0,0,0,0,0,0
ANO4,3,1,1,2,0,0,1.401,0,0
ANO4_1,0,0,0,0,1,2,1.599,0,1
ANO5,0,0,0,0,0,0,0,0,0
ANO6,4718,4074,4666,3804,3441,2807.001,3989,5520,5678.999
ANO7,58.787,27.577,28.851,21.198,32.255,37.637,49.98,57.761,62.303
ANO7L1,3,2,1,4,1,4,4,4,4.687
ANO7L1_1,0,0,0,0,0,0,0,0,2.313
ANO8,163,150,151,140,62,43,84,193,219
ANO9,664,665,699,634,62,46,82,880,859.147
ANOS1,16,11,10,15,7,4,5,23,20
ANP32A,1476,2764.85,2875.865,2674.893,1054,824,1187,1556.998,1599
ANP32A-IT1,9,10,11,10,11,5,12,13,11
ANP32AP1,0,1.15,1.135,1.107,0,0,0,0,0
ANP32B,3909,5970,6364,5369,3765,2873,4508,4211,3892
ANP32D,0,0,0,0,0,0,0,1.002,0
ANP32E,791,1049,1200,1036,2459.999,1860.999,2684,959,857
ANPEP,76,29,37,41,9,10,14,53,60
ANTKMT,76,152,171,159,25,10,24,79,92
ANTXR1,0,0,0,0,1,0,0,0,0
